PC igra-Survival-Multiplayer-Fortnite,10
Xbox-Survival-Multiplayer-Fortnite,10
Playstation 4-Survival-Multiplayer-Fortnite,10
macOS-Survival-Multiplayer-Fortnite,10
PC igra-Action/Adventure-Multiplayer-GTA V,9
Playstation3-Action/Adventure-Multiplayer-GTA V,9
Xbox-Action/Adventure-Multiplayer-GTA V,9
Xbox-Action/Adventure-Multiplayer-GTA V,9
Playstation 4-Action/Adventure-Multiplayer-GTA V,9
Playstation 4-Action-Multiplayer-Owerwatch,8
PC igra-Action-Multiplayer-Owerwatch,8
Playstation 4-Action-Multiplayer-Owerwatch,8
PC igra-Tactical shooter-Multiplayer-TCRSS,7
Xbox-Tactical shooter-Multiplayer-TCRSS,7
Playstation 4-Tactical shooter-Multiplayer-TCRSS,7
Playstation 4-Tactical shooter-Multiplayer-PUBG ,6
PC igra-Action-Multiplayer-PUBG ,6
iOS-Action-Multiplayer-PUBG ,6
Android-Action-Multiplayer-PUBG ,6
PC igra-Battle arena-Multiplayer-League of Legends ,5
macOS-Battle arena-Multiplayer-League of Legends ,5
macOS-Survival-Multiplayer-Minecraft ,4
PC igra-Survival-Multiplayer-Minecraft ,4
Android-Survival-Multiplayer-Minecraft ,4
iOS-Survival-Multiplayer-Minecraft ,4
Xbox-Survival-Multiplayer-Minecraft ,4
Xbox-Survival-Multiplayer-Minecraft ,4
Playstation3-Survival-Multiplayer-Minecraft ,4
Playstation 4-Survival-Multiplayer-Minecraft ,4
Playstation 4-Action/Adventure-Singleplayer-God of war 4 ,3
PC igra-Sports-Multiplayer-Rocket league ,2
Xbox-Sports-Multiplayer-Rocket league,2
Playstation 4-Sports-Multiplayer-Rocket league,2
macOS-Sports-Multiplayer-Rocket league,2
macOS-FPS-Multiplayer-CS:Global Offensive ,1
PC igra-FPS-Multiplayer-CS:Global Offensive ,1
Xbox-FPS-Multiplayer-CS:Global Offensive ,1
Playstation3-FPS-Multiplayer-CS:Global Offensive ,1

